date,time_id,start_time,end_time,region_from,region_to,v0_num_traj,v10_num_traj,v20_num_traj,v30_num_traj,v40_num_traj,v50_num_traj,v60_num_traj
2013/3/4,7,360,420,2,6,2,2,2,0,0,0,0
2013/3/4,7,360,420,2,8,2,2,2,0,0,0,0
2013/3/4,7,360,420,2,9,2,2,2,0,0,0,0
2013/3/4,7,360,420,2,10,2,2,2,0,0,0,0
2013/3/4,7,360,420,2,12,2,2,0,0,0,0,0
2013/3/4,7,360,420,2,15,2,2,2,0,0,0,0
2013/3/4,7,360,420,2,16,2,2,2,0,0,0,0
2013/3/4,7,360,420,2,17,1,1,1,0,0,0,0
2013/3/4,7,360,420,2,22,2,2,2,0,0,0,0
2013/3/4,7,360,420,2,25,1,1,1,0,0,0,0
2013/3/4,7,360,420,2,28,1,1,1,0,0,0,0
2013/3/4,7,360,420,2,31,1,1,1,0,0,0,0
2013/3/4,7,360,420,2,32,1,1,1,0,0,0,0
2013/3/4,7,360,420,2,34,1,1,1,0,0,0,0
2013/3/4,7,360,420,3,1,68,68,68,0,0,0,0
2013/3/4,7,360,420,3,3,1,1,0,0,0,0,0
2013/3/4,7,360,420,3,5,5,5,5,0,0,0,0
2013/3/4,7,360,420,3,6,17,17,17,17,17,0,0
2013/3/4,7,360,420,3,11,4,4,4,0,0,0,0
2013/3/4,7,360,420,3,12,1,1,0,0,0,0,0
2013/3/4,7,360,420,3,18,4,4,4,0,0,0,0
2013/3/4,7,360,420,3,24,2,2,2,0,0,0,0
2013/3/4,7,360,420,3,25,3,3,3,0,0,0,0
2013/3/4,7,360,420,3,33,1,1,1,0,0,0,0
2013/3/4,7,360,420,3,37,2,2,2,0,0,0,0
2013/3/4,7,360,420,3,39,3,3,3,0,0,0,0
2013/3/4,7,360,420,3,85,1,1,1,1,0,0,0
2013/3/4,7,360,420,4,1,54,54,54,0,0,0,0
2013/3/4,7,360,420,4,2,111,111,111,0,0,0,0
2013/3/4,7,360,420,4,3,3,3,3,0,0,0,0
2013/3/4,7,360,420,4,4,1,1,1,0,0,0,0
2013/3/4,7,360,420,4,5,82,82,82,0,0,0,0
2013/3/4,7,360,420,4,8,18,18,18,0,0,0,0
2013/3/4,7,360,420,4,10,2,2,2,0,0,0,0
2013/3/4,7,360,420,4,15,2,2,2,0,0,0,0
2013/3/4,7,360,420,4,16,3,3,3,0,0,0,0
2013/3/4,7,360,420,4,28,1,1,1,0,0,0,0
2013/3/4,7,360,420,4,31,1,1,1,0,0,0,0
2013/3/4,7,360,420,4,32,1,1,1,1,0,0,0
2013/3/4,7,360,420,4,34,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,1,124,124,0,0,0,0,0
2013/3/4,7,360,420,5,2,5,5,5,0,0,0,0
2013/3/4,7,360,420,5,3,10,10,10,0,0,0,0
2013/3/4,7,360,420,5,4,3,3,3,0,0,0,0
2013/3/4,7,360,420,5,5,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,6,3,3,3,0,0,0,0
2013/3/4,7,360,420,5,7,3,3,3,3,0,0,0
2013/3/4,7,360,420,5,8,2,2,2,0,0,0,0
2013/3/4,7,360,420,5,9,6,6,6,0,0,0,0
2013/3/4,7,360,420,5,10,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,11,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,12,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,14,2,2,2,0,0,0,0
2013/3/4,7,360,420,5,15,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,16,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,17,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,18,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,22,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,31,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,32,1,1,1,0,0,0,0
2013/3/4,7,360,420,5,33,1,1,1,0,0,0,0
2013/3/4,7,360,420,6,1,67,67,67,0,0,0,0
2013/3/4,7,360,420,6,3,10,10,10,0,0,0,0
2013/3/4,7,360,420,6,5,14,14,14,0,0,0,0
